"Site","d2H.m","d2H.sd","d18O.m","d18O.sd"
"CPER_tower",-109.943886560483,2.0918245352881,-14.203258703356,1.01529861024666
"NIWO_tower",-125.171755393852,2.080530889662,-16.6318441103739,0.899119674146052
"SCBI_tower",-46.5992030082618,2.08150499662378,-7.58118992267801,0.910736356150967
"UNDE_tower",-78.4505701995001,2.08314163229657,-11.1205057070506,0.927875471058356
"WOOD_tower",-99.3138243666247,2.08078208907882,-13.1301525607002,0.90065983778565
"HARV_tower",-56.3605774275058,2.08394763395342,-8.7139615750857,0.938873331521803
"YELL_tower",-140.862325971555,2.08154955005838,-18.4320010187433,0.9113570941163
"OSBS_tower",-17.5608048462094,2.08108893087568,-3.43213139798675,0.905077013708354
"WREF_tower",-87.1314377192623,2.11133979936317,-11.8904752601837,1.15642986099239
"TALL_tower",-23.4768257141113,2.0814106464386,-4.48581409454346,0.909913301467896
"SJER_tower",-76.3176747451389,2.09048202779466,-10.4649661384371,1.00323461664337
"CLBJ_tower",-28.7393709149971,2.08561915782067,-4.97166389734199,0.956480234985248
