"Bout","n","srangeO","SSD025","SSD25","SSD50","SSD75","SSD975"
"CPER1",17,11.029922191656,0.424053988938379,0.538760831910471,0.599451156316697,0.657838119410193,0.767882093602586
"NIWO1",18,5.5153666414,0.477332703328477,0.602892686817867,0.668514483443803,0.73350491083202,0.854277448261094
"SCBI1",15,3.15470725977801,0.389900247518332,0.514145067556892,0.584363683766676,0.652217753856362,0.784769787049162
"UNDE1",15,6.08516161878394,0.330252944931006,0.437551523819861,0.497556696277168,0.558459089098889,0.674040618655816
"WOOD1",11,7.3218239521002,0.339137597008062,0.468320873524128,0.539641777500816,0.607044684236964,0.736177405791933
"CPER2",24,12.5431097241894,0.38336823295574,0.466365389817338,0.510799368977358,0.554329865862332,0.641353089528857
"HARV1",14,3.3734589112,0.347536669403928,0.45797926917317,0.520996062329617,0.583526337963228,0.70280530914883
"YELL1",13,14.0934190785433,0.669489704005994,0.811023744849442,0.876672020847501,0.938177579246564,1.04849150707874
"WOOD2",16,4.81767146463353,0.386926257174063,0.50095399214092,0.563899120850799,0.628248290722748,0.752368639013631
"NIWO2",22,5.74560512997393,0.404573099272948,0.503246120491761,0.556862255455228,0.611053577546461,0.715485453011801
"SCBI2",17,2.55766332711135,0.393810511481491,0.507653490969053,0.569518415417527,0.632277046990355,0.75129209210948
"OSBS1",22,5.75633846528675,0.4185185849836,0.525173819627146,0.585356570062679,0.643750274859042,0.754177357633264
"UNDE2",20,4.1605070312256,0.499496341182814,0.620727019145155,0.687609331911858,0.752811876813538,0.876813981602642
"CPER3",23,14.3077022349894,0.399680161565805,0.484969760533641,0.530212213976638,0.572830964825316,0.656760778288291
"NIWO3",20,8.9582630816406,0.483294593072355,0.589999681500575,0.647856707032087,0.704083962186471,0.807176475238964
"HARV2",15,5.0821147626857,0.351925556264771,0.46208613638141,0.522288208926788,0.585787083690395,0.708911398124681
"WREF1",21,5.93548540245033,0.548212104576999,0.662102250060538,0.722589352403166,0.780977474325728,0.890179322015996
"YELL2",20,12.7292879541433,0.56752685080066,0.650199657091321,0.694112954510554,0.739416610286509,0.823977771538021
"SCBI3",18,2.56577468452801,0.466878892893622,0.589107191013304,0.65443659972559,0.723650917631437,0.846436719637617
"UNDE3",8,2.97669011545061,0.558948481768074,0.879360289621535,1.02682427152178,1.15805606856999,1.35831060980955
"OSBS2",23,2.74942911778675,0.555146546817541,0.663882128881245,0.721409876033599,0.780831558409587,0.895962795069102
"WREF2",25,5.77752129925033,0.601579300049899,0.689321002066284,0.734288227268563,0.779249452350723,0.863934316486054
"HARV3",17,2.08877817985237,0.401020527598117,0.519151726852424,0.585089239065485,0.65055307140576,0.777793304092783
"OSBS3",22,2.37667671896667,0.364726877239116,0.454978314865051,0.505564506255607,0.55974868473863,0.659851059236054
"WREF3",25,5.25969537751699,0.495543961585525,0.590123543563271,0.639069579129864,0.688716921554558,0.783815254120166
"YELL5",24,7.53233401220994,0.391431461946602,0.48464969375544,0.539626557101213,0.60457889448211,0.740110836362498
"SCBI5",2,3.66786894647801,0.0187726056853183,0.225223772437409,0.467223376059963,0.788034401100884,1.44848654121235
"WOOD5",16,7.94804707253333,0.458972053981777,0.571826041115678,0.634454938961125,0.696759187955915,0.819816711281528
"TALL4",13,3.05452861634346,0.324415705048914,0.436171078148775,0.497319051377167,0.561409169538644,0.68669374985724
"HARV5",16,2.84170050021904,0.399563247919763,0.508497083109431,0.568949262297483,0.630726259361329,0.749938405210051
"WOOD7",22,2.9156883095002,0.355981464217105,0.448790670852666,0.50195448919542,0.556896993245632,0.662416820001693
"CPER5",10,8.49108448808937,0.518813374120221,0.660890909561653,0.735888232534213,0.8102947668655,0.941570778603545
"SJER4",8,4.4015349732,0.516554362347606,0.721101059040094,0.82480777083569,0.929122074835712,1.12418672711555
"SCBI4",18,3.43697370771135,0.362029778892306,0.46719159593249,0.523999960766615,0.583291735091402,0.696726322375215
"UNDE6",24,7.89053516431727,0.441808638971732,0.534985082424965,0.58618041012417,0.637397714567857,0.73048325303856
"HARV4",15,2.30218464655237,0.545946106859636,0.684571690262448,0.757883809009365,0.825550651201819,0.957475366911648
"SCBI6",5,3.03453972057801,0.176994219208839,0.361132580974692,0.471953442694572,0.58962032191181,0.824401621719248
"UNDE4",24,5.3289043981506,0.352602517794921,0.438700338492412,0.484772278064776,0.533017571097426,0.621988307549233
"UNDE7",24,3.62603327881727,0.419136221140141,0.515501511377832,0.566168718441625,0.618249565357233,0.715801924225234
"TALL5",19,1.69606641676667,0.376140481424118,0.483204341791056,0.541382517773404,0.600657110198266,0.713227604111592
"HARV6",17,2.9605753530607,0.371620531179131,0.478098103281442,0.537206302353609,0.602250213264082,0.721990225546105
"TALL1",6,5.54294448771012,0.211300276689052,0.367777984681288,0.460906189282929,0.559305982674577,0.751856054938606
"CPER7",8,10.9386677609894,0.280435148207416,0.432763176417697,0.516194196427891,0.603382971021625,0.758098879725603
"YELL4",25,11.1879976725099,0.88006041949513,0.951343997198537,0.988053767020008,1.02237627272599,1.08683176450017
"UNDE5",17,4.14140002038394,0.46515645157488,0.57172917224294,0.627809749074611,0.685040485802851,0.796097953516276
"WOOD4",13,4.11382605536667,0.246393312772977,0.364212568965323,0.437193420776338,0.51852271082746,0.69167357833453
"CLBJ4",22,7.41201316259167,0.508401865037272,0.607172680325482,0.658557889257235,0.711933218439188,0.808932143864194
"CLBJ5",22,2.43152969167533,0.387897143833006,0.481300471834013,0.536151449186849,0.590382392108991,0.697044962599155
"SJER5",1,13.5839622886333,NA,NA,NA,NA,NA
"TALL6",13,1.34473869934346,0.31239219661434,0.426738081758098,0.492784667336126,0.561694532844305,0.708786826181111
"WOOD6",19,7.30811406431686,0.424479186016855,0.534078466047332,0.592713476463486,0.653020423899754,0.767264130733776
"CPER4",19,8.75815355632271,0.598635123209928,0.706725674585825,0.759826326082981,0.811418632794073,0.898515201352953
"CLBJ6",13,7.78378850914199,0.494037476259922,0.594669690628338,0.650254563212558,0.705114392510253,0.817913380109649
